Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,current,2024-11-01,2025-03-31,3+,265233,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,current,2024-11-01,2025-03-31,1,477419,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,current,2024-11-01,2025-03-31,2,318279,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,current,2024-11-01,2025-03-31,3,212186,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,current,2024-11-01,2025-03-31,4,53047,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,first projection,2025-04-01,2025-07-31,all,1060931,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,first projection,2025-04-01,2025-07-31,3+,212187,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,first projection,2025-04-01,2025-07-31,1,477419,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,first projection,2025-04-01,2025-07-31,2,371326,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,first projection,2025-04-01,2025-07-31,3,159140,0.15
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,first projection,2025-04-01,2025-07-31,4,53047,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Kech,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,current,2024-11-01,2025-03-31,all,285759,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,current,2024-11-01,2025-03-31,3+,71440,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,current,2024-11-01,2025-03-31,1,128592,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,current,2024-11-01,2025-03-31,2,85728,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,current,2024-11-01,2025-03-31,3,57152,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,current,2024-11-01,2025-03-31,4,14288,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,first projection,2025-04-01,2025-07-31,all,285759,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,first projection,2025-04-01,2025-07-31,3+,57152,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,first projection,2025-04-01,2025-07-31,1,128592,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,first projection,2025-04-01,2025-07-31,2,100016,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,first projection,2025-04-01,2025-07-31,3,57152,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Washuk,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,current,2024-11-01,2025-03-31,all,591283,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,current,2024-11-01,2025-03-31,3+,147821,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,current,2024-11-01,2025-03-31,1,206949,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,current,2024-11-01,2025-03-31,2,236513,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,current,2024-11-01,2025-03-31,3,118257,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,current,2024-11-01,2025-03-31,4,29564,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,first projection,2025-04-01,2025-07-31,all,591283,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,first projection,2025-04-01,2025-07-31,3+,147821,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,first projection,2025-04-01,2025-07-31,1,206949,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,first projection,2025-04-01,2025-07-31,2,236513,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,first projection,2025-04-01,2025-07-31,3,118257,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,first projection,2025-04-01,2025-07-31,4,29564,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Pishin,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,current,2024-11-01,2025-03-31,all,168817,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,current,2024-11-01,2025-03-31,3+,59086,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,current,2024-11-01,2025-03-31,1,59086,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,current,2024-11-01,2025-03-31,2,50645,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,current,2024-11-01,2025-03-31,3,42204,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,current,2024-11-01,2025-03-31,4,16882,0.1
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,first projection,2025-04-01,2025-07-31,all,168817,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,first projection,2025-04-01,2025-07-31,3+,50645,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,first projection,2025-04-01,2025-07-31,1,67527,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,first projection,2025-04-01,2025-07-31,2,50645,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,first projection,2025-04-01,2025-07-31,3,42204,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,first projection,2025-04-01,2025-07-31,4,8441,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Musakhel,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,current,2024-11-01,2025-03-31,all,256313,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,current,2024-11-01,2025-03-31,3+,76894,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,current,2024-11-01,2025-03-31,1,102525,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,current,2024-11-01,2025-03-31,2,76894,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,current,2024-11-01,2025-03-31,3,64078,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,current,2024-11-01,2025-03-31,4,12816,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,first projection,2025-04-01,2025-07-31,all,256313,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,first projection,2025-04-01,2025-07-31,3+,64079,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,first projection,2025-04-01,2025-07-31,1,115341,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,first projection,2025-04-01,2025-07-31,2,76894,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,first projection,2025-04-01,2025-07-31,3,51263,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,first projection,2025-04-01,2025-07-31,4,12816,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Chagai,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,current,2024-11-01,2025-03-31,all,137541,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,current,2024-11-01,2025-03-31,3+,34385,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,current,2024-11-01,2025-03-31,1,55016,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,current,2024-11-01,2025-03-31,2,48139,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,current,2024-11-01,2025-03-31,3,27508,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,current,2024-11-01,2025-03-31,4,6877,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,first projection,2025-04-01,2025-07-31,all,137541,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,first projection,2025-04-01,2025-07-31,3+,34385,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,first projection,2025-04-01,2025-07-31,1,55016,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,first projection,2025-04-01,2025-07-31,2,48139,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,first projection,2025-04-01,2025-07-31,3,27508,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,first projection,2025-04-01,2025-07-31,4,6877,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Ziarat,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,current,2024-11-01,2025-03-31,all,155302,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,current,2024-11-01,2025-03-31,3+,38825,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,current,2024-11-01,2025-03-31,1,62121,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,current,2024-11-01,2025-03-31,2,54356,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,current,2024-11-01,2025-03-31,3,31060,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,current,2024-11-01,2025-03-31,4,7765,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,first projection,2025-04-01,2025-07-31,all,155302,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,first projection,2025-04-01,2025-07-31,3+,38825,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,first projection,2025-04-01,2025-07-31,1,54356,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,first projection,2025-04-01,2025-07-31,2,62121,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,first projection,2025-04-01,2025-07-31,3,31060,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,first projection,2025-04-01,2025-07-31,4,7765,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Gwadar,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,current,2024-11-01,2025-03-31,all,209564,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,current,2024-11-01,2025-03-31,3+,52391,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,current,2024-11-01,2025-03-31,1,94304,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,current,2024-11-01,2025-03-31,2,62869,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,current,2024-11-01,2025-03-31,3,41913,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,current,2024-11-01,2025-03-31,4,10478,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,first projection,2025-04-01,2025-07-31,all,209564,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,first projection,2025-04-01,2025-07-31,3+,41913,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,first projection,2025-04-01,2025-07-31,1,104782,0.5
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,first projection,2025-04-01,2025-07-31,2,62869,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,first projection,2025-04-01,2025-07-31,3,31435,0.15
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,first projection,2025-04-01,2025-07-31,4,10478,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Jaffarabad,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,current,2024-11-01,2025-03-31,all,383593,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,current,2024-11-01,2025-03-31,3+,115078,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,current,2024-11-01,2025-03-31,1,134258,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,current,2024-11-01,2025-03-31,2,134258,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,current,2024-11-01,2025-03-31,3,95898,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,current,2024-11-01,2025-03-31,4,19180,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,first projection,2025-04-01,2025-07-31,all,383593,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,first projection,2025-04-01,2025-07-31,3+,95899,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,first projection,2025-04-01,2025-07-31,1,134258,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,first projection,2025-04-01,2025-07-31,2,153437,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,first projection,2025-04-01,2025-07-31,3,76719,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,first projection,2025-04-01,2025-07-31,4,19180,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Kachhi,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,current,2024-11-01,2025-03-31,all,239157,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,current,2024-11-01,2025-03-31,3+,71747,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,current,2024-11-01,2025-03-31,1,95663,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,current,2024-11-01,2025-03-31,2,71747,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,current,2024-11-01,2025-03-31,3,59789,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,current,2024-11-01,2025-03-31,4,11958,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,first projection,2025-04-01,2025-07-31,all,239157,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,first projection,2025-04-01,2025-07-31,3+,59789,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,first projection,2025-04-01,2025-07-31,1,95663,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,first projection,2025-04-01,2025-07-31,2,83705,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,first projection,2025-04-01,2025-07-31,3,47831,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,first projection,2025-04-01,2025-07-31,4,11958,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Kalat,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,current,2024-11-01,2025-03-31,all,653277,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,current,2024-11-01,2025-03-31,3+,130656,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,current,2024-11-01,2025-03-31,1,293975,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,current,2024-11-01,2025-03-31,2,228647,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,current,2024-11-01,2025-03-31,3,97992,0.15
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,current,2024-11-01,2025-03-31,4,32664,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,first projection,2025-04-01,2025-07-31,all,653277,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,first projection,2025-04-01,2025-07-31,3+,130655,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,first projection,2025-04-01,2025-07-31,1,293975,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,first projection,2025-04-01,2025-07-31,2,228647,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,first projection,2025-04-01,2025-07-31,3,130655,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Khuzdar,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,current,2024-11-01,2025-03-31,all,758504,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,current,2024-11-01,2025-03-31,3+,151701,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,current,2024-11-01,2025-03-31,1,303402,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,current,2024-11-01,2025-03-31,2,303402,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,current,2024-11-01,2025-03-31,3,151701,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,current,2024-11-01,2025-03-31,4,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,first projection,2025-04-01,2025-07-31,all,758504,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,first projection,2025-04-01,2025-07-31,3+,151701,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,first projection,2025-04-01,2025-07-31,1,265476,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,first projection,2025-04-01,2025-07-31,2,341327,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,first projection,2025-04-01,2025-07-31,3,151701,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Abdullah,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,current,2024-11-01,2025-03-31,all,322567,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,current,2024-11-01,2025-03-31,3+,80641,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,current,2024-11-01,2025-03-31,1,129027,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,current,2024-11-01,2025-03-31,2,112898,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,current,2024-11-01,2025-03-31,3,64513,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,current,2024-11-01,2025-03-31,4,16128,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,first projection,2025-04-01,2025-07-31,all,322567,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,first projection,2025-04-01,2025-07-31,3+,80641,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,first projection,2025-04-01,2025-07-31,1,129027,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,first projection,2025-04-01,2025-07-31,2,112898,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,first projection,2025-04-01,2025-07-31,3,64513,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,first projection,2025-04-01,2025-07-31,4,16128,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Killa Saifullah,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,current,2024-11-01,2025-03-31,all,360729,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,current,2024-11-01,2025-03-31,3+,72145,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,current,2024-11-01,2025-03-31,1,162328,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,current,2024-11-01,2025-03-31,2,126255,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,current,2024-11-01,2025-03-31,3,54109,0.15
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,current,2024-11-01,2025-03-31,4,18036,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,first projection,2025-04-01,2025-07-31,all,360729,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,first projection,2025-04-01,2025-07-31,3+,72146,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,first projection,2025-04-01,2025-07-31,1,162328,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,first projection,2025-04-01,2025-07-31,2,126255,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,first projection,2025-04-01,2025-07-31,3,72146,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Lasbela,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,current,2024-11-01,2025-03-31,all,216981,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,current,2024-11-01,2025-03-31,3+,54245,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,current,2024-11-01,2025-03-31,1,86792,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,current,2024-11-01,2025-03-31,2,75943,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,current,2024-11-01,2025-03-31,3,43396,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,current,2024-11-01,2025-03-31,4,10849,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,first projection,2025-04-01,2025-07-31,all,216981,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,first projection,2025-04-01,2025-07-31,3+,54245,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,first projection,2025-04-01,2025-07-31,1,86792,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,first projection,2025-04-01,2025-07-31,2,75943,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,first projection,2025-04-01,2025-07-31,3,43396,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,first projection,2025-04-01,2025-07-31,4,10849,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Loralai,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,current,2024-11-01,2025-03-31,all,467818,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,current,2024-11-01,2025-03-31,3+,116955,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,current,2024-11-01,2025-03-31,1,187127,0.4
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,current,2024-11-01,2025-03-31,2,163736,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,current,2024-11-01,2025-03-31,3,93564,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,current,2024-11-01,2025-03-31,4,23391,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,first projection,2025-04-01,2025-07-31,all,467818,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,first projection,2025-04-01,2025-07-31,3+,116955,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,first projection,2025-04-01,2025-07-31,1,210518,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,first projection,2025-04-01,2025-07-31,2,140345,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,first projection,2025-04-01,2025-07-31,3,93564,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,first projection,2025-04-01,2025-07-31,4,23391,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Nasirabad,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,current,2024-11-01,2025-03-31,all,995546,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,current,2024-11-01,2025-03-31,3+,199109,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,current,2024-11-01,2025-03-31,1,497773,0.5
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,current,2024-11-01,2025-03-31,2,298664,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,current,2024-11-01,2025-03-31,3,199109,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,current,2024-11-01,2025-03-31,4,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,current,2024-11-01,2025-03-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,first projection,2025-04-01,2025-07-31,all,995546,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,first projection,2025-04-01,2025-07-31,3+,199109,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,first projection,2025-04-01,2025-07-31,1,447996,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,first projection,2025-04-01,2025-07-31,2,348441,0.35
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,first projection,2025-04-01,2025-07-31,3,199109,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,first projection,2025-04-01,2025-07-31,4,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Quetta,first projection,2025-04-01,2025-07-31,5,0,0
Nov 2024,PAK,241490000,BALOCHISTAN,Nushki,current,2024-11-01,2025-03-31,all,164231,1.0
Nov 2024,PAK,241490000,BALOCHISTAN,Nushki,current,2024-11-01,2025-03-31,3+,41058,0.25
Nov 2024,PAK,241490000,BALOCHISTAN,Nushki,current,2024-11-01,2025-03-31,1,73904,0.45
Nov 2024,PAK,241490000,BALOCHISTAN,Nushki,current,2024-11-01,2025-03-31,2,49269,0.3
Nov 2024,PAK,241490000,BALOCHISTAN,Nushki,current,2024-11-01,2025-03-31,3,32846,0.2
Nov 2024,PAK,241490000,BALOCHISTAN,Nushki,current,2024-11-01,2025-03-31,4,8212,0.05
Nov 2024,PAK,241490000,BALOCHISTAN,Nushki,current,2024-11-01,2025-03-31,5,0,0
